repository;language;architecture;community;continuous_integration;documentation;history;issues;license;size;unit_test;stars;scorebased_org;randomforest_org;scorebased_utl;randomforest_utl
shixiaoyu/pygoogle;Python;0.5;1;0;0.196347;0.0;0.0;0;178;0.0;0;0;0;0;0
tommy-muehle/silex-doctrine-orm-service-provider;PHP;0.333333;0;1;0.221453;0.0;0.0;1;254;0.242857;2;0;0;1;1
Neo-DW/HRTF;C;0.636364;0;0;0.246174;0.0;0.0;0;26111;0.0;1;0;0;0;0
maxdemarzi/archetype_api;Java;0.891892;0;0;0.018671;0.0;0.0;0;3606;0.538012;4;0;0;1;0
JsonHunt/mobile-app-scaffolding;Java;0.0;1;0;0.098646;0.0;0.0;0;8773;0.0;0;0;0;0;0
bettse/libfreefare;C;0.912281;1;0;0.179542;0.0;0.0;1;11205;0.388305;0;0;0;1;1
zoukyle/python-photo-tools;Python;1.0;1;0;0.045455;0.0;0.0;0;84;0.0;0;0;0;0;0
cmorsics/SimpleWebApi2;C#;0.861111;1;0;0.068732;0.0;0.0;0;57268;0.0;0;0;0;0;0
rkp8000/hypothesize;Python;0.166667;1;0;0.296296;0.0;0.0;0;8679;0.0;0;0;0;0;0
aripddev/bireyselinisiyatif.org;PHP;0.0;1;0;0.108855;0.0;0.0;1;2194;0.0;0;0;0;1;1
elwebmaster/crowd.gq-client;Python;0.0;1;0;0.0;0.0;0.0;1;106;0.0;0;0;0;0;0
Welon5656/media-app-for-android;Java;0.166667;1;0;0.112075;0.0;0.0;0;1228;0.0;0;0;0;0;0
spininertia/w2v4j;Java;1.0;1;0;0.159358;0.0;0.0;0;856;0.038567;1;0;0;1;0
catoenm/E-MERGE;Java;0.5;0;0;0.115067;0.0;0.0;0;2038;0.522111;1;0;0;1;0
vanqard/passman;PHP;1.0;1;0;0.552147;0.0;0.0;1;224;0.0;2;0;0;1;0
HiraokaHyperTools/jtifedit3;C#;0.777778;0;0;0.108614;0.0;0.0;1;5226;0.0;0;0;0;1;0
visit-vis/VisIt;C;0.949644;0;0;0.345599;0.0;0.0;1;2132264;0.108429;0;0;0;1;0
marcsstevenson/OvenSimCordova;Java;0.959184;1;0;0.251203;0.0;0.0;1;26267;0.0;0;0;0;1;0
fuzyll/coppermind;Ruby;0.416667;1;0;0.215884;0.0;0.0;1;876;0.0;0;0;0;1;0
gheydon/pheanstalk-worker;PHP;0.666667;1;1;0.232877;0.0;0.0;0;247;0.310924;1;0;0;1;0
Swanson-Hysell-Group/SAM_Header;Python;0.666667;1;0;0.282203;0.0;0.0;0;9345;0.0;0;0;0;0;0
ChrisGerrard/TableauToolsRuby;Ruby;1.0;1;0;0.078456;0.0;0.0;0;740;0.0;3;0;0;0;0
Frozenme/cquptque;PHP;0.849231;1;0;0.297569;0.0;0.0;1;49008;0.011122;0;0;0;1;0
MagIciaNGTAO/leetcode;Java;0.938095;1;0;0.114469;0.0;0.0;0;13130;0.518108;0;0;0;1;0
usher123/datastructure-of-python;Python;0.0;1;0;0.0;0.0;0.0;0;32;0.0;0;0;0;0;0
aditya7iyengar/UDPFileTransfer;C;0.5;1;0;0.0;0.0;0.0;0;196;0.0;0;0;0;0;0
